2024-11-12 14:22:58,200 - Speed: 0.05 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:22:59,201 - Speed: 0.05 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:00,203 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:01,203 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:02,204 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:03,205 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:04,206 - Speed: 0.05 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:05,207 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:06,208 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:07,209 - Speed: 0.05 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:08,210 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:09,211 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:10,212 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:11,213 - Speed: 0.04 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:12,214 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:13,215 - Speed: 0.21 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:14,216 - Speed: 0.04 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:15,216 - Speed: 0.04 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:16,218 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:17,219 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:18,220 - Speed: 0.04 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:19,221 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:20,221 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:21,222 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:22,223 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:23,224 - Speed: 0.22 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:24,225 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:25,226 - Speed: 0.20 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:26,227 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:27,228 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:28,229 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:29,232 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:30,233 - Speed: 0.03 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:31,234 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:32,235 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:33,236 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:34,236 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:35,238 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:36,239 - Speed: 0.19 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:37,239 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:38,240 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:39,241 - Speed: 0.18 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:40,242 - Speed: 0.18 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:41,243 - Speed: 0.18 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:42,244 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:43,245 - Speed: 0.02 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:44,246 - Speed: 0.18 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
2024-11-12 14:23:45,247 - Speed: 0.01 km/h, Throttle: 0.00, Brake: 0.00, Steer: 0.00, Gear: 0
