2025-04-01 17:28:07,709 - Timestamp, Before_X, Before_Y, Before_Z, Before_Yaw_Deg, After_X, After_Y, After_Z, After_Yaw_Deg
2025-04-01 17:38:42,778 - 2025-04-01T17:38:42.778874, 1.0598535230043429, 0.0, -0.47169733992395546, 90.8483836483921, -18.98224170685301, -58.458299964867216, 0.0016000000400000006, -0.848383648392101
2025-04-01 17:38:42,838 - 2025-04-01T17:38:42.838633, 1.067658406805183, 0.0, -0.4719868029706187, 90.50838364815338, -18.72623439983216, -58.45637245721904, 0.0016000000400000006, -0.5083836481533837
2025-04-01 17:38:42,898 - 2025-04-01T17:38:42.898771, 1.0749879640957332, 0.0, -0.4726558245880135, 89.69538372899159, -18.485433676073363, -58.441548496714596, 0.0016000000400000006, 0.30461627100841326
2025-04-01 17:38:42,938 - 2025-04-01T17:38:42.938556, 1.080244696745114, 0.0, -0.4742857822110613, 88.79748372836194, -18.31161867352082, -58.39323253923865, 0.0016000000400000006, 1.2025162716380606
2025-04-01 17:38:42,960 - 2025-04-01T17:38:42.960155, 1.0827728306174662, 0.0, -0.4752123560739916, 88.22228372796361, -18.227887241706007, -58.36532110237636, 0.0016000000400000006, 1.7777162720363864
2025-04-01 17:38:42,978 - 2025-04-01T17:38:42.978818, 1.0854497578916935, 0.0, -0.4762725732067059, 87.67108372758555, -18.139151199058766, -58.33317490623213, 0.0016000000400000006, 2.328916272414446
2025-04-01 17:38:42,999 - 2025-04-01T17:38:42.999402, 1.0881935068008124, 0.0, -0.47725839363848266, 86.9711837271105, -18.048297776770575, -58.303531015504106, 0.0016000000400000006, 3.0288162728895003
2025-04-01 17:38:43,018 - 2025-04-01T17:38:43.018367, 1.0906699691703627, 0.0, -0.4785418008740079, 86.30668372666452, -17.965913873046276, -58.26387790311129, 0.0016000000400000006, 3.6933162733354834
2025-04-01 17:38:43,038 - 2025-04-01T17:38:43.038810, 1.093160227712489, 0.0, -0.4787622830577911, 85.51488372613943, -17.884107070107625, -58.25906489153489, 0.0016000000400000006, 4.48511627386057
2025-04-01 17:38:43,059 - 2025-04-01T17:38:43.059115, 1.0955319931169218, 0.0, -0.47941399531510775, 84.87578372572045, -17.805765174900436, -58.24000789901173, 0.0016000000400000006, 5.124216274279547
2025-04-01 17:38:43,078 - 2025-04-01T17:38:43.078195, 1.098268166959996, 0.0, -0.48025859741105537, 84.31788372535819, -17.71529667838746, -58.214983693340876, 0.0016000000400000006, 5.682116274641814
2025-04-01 17:38:43,098 - 2025-04-01T17:38:43.098731, 1.101011915869115, 0.0, -0.4812444178428321, 83.51438372484203, -17.62444325609927, -58.18533980261285, 0.0016000000400000006, 6.485616275157966
2025-04-01 17:38:43,118 - 2025-04-01T17:38:43.118204, 1.10363717164054, 0.0, -0.4826614683481423, 82.90628372445568, -17.537054741542562, -58.14145193093807, 0.0016000000400000006, 7.093716275544324
