Timestamp, Distance_2(Z), Distance_3(X), X, Y, Z, Roll, Yaw, Pitch, CalibrationMode, IsValid
1745404467.271, 2.056, 4.037, -0.1498, -1.1138, -4.9417, -0.4535, 41.1432, 92.2619, 1, 1
1745404467.351, 2.056, 4.037, -0.1498, -1.1138, -4.9416, -0.4519, 41.1439, 92.2616, 1, 1
1745404467.430, 2.056, 4.037, -0.1499, -1.1138, -4.9416, -0.4507, 41.1466, 92.2596, 1, 1
1745404467.510, 2.056, 4.037, -0.1499, -1.1138, -4.9416, -0.4498, 41.1492, 92.2578, 1, 1
1745404467.590, 2.057, 4.037, -0.1499, -1.1138, -4.9416, -0.4484, 41.1502, 92.2544, 1, 1
1745404467.669, 2.057, 4.037, -0.1499, -1.1138, -4.9416, -0.4531, 41.1485, 92.2555, 1, 1
1745404467.749, 2.057, 4.037, -0.1499, -1.1138, -4.9416, -0.4579, 41.1476, 92.2565, 1, 1
1745404467.828, 2.057, 4.037, -0.1499, -1.1138, -4.9416, -0.4617, 41.1452, 92.2577, 1, 1
1745404467.908, 2.057, 4.037, -0.1498, -1.1138, -4.9416, -0.4662, 41.1440, 92.2602, 1, 1
1745404467.988, 2.057, 4.037, -0.1498, -1.1138, -4.9416, -0.4702, 41.1427, 92.2629, 1, 1
1745404468.067, 2.057, 4.037, -0.1498, -1.1138, -4.9416, -0.4679, 41.1434, 92.2623, 1, 1
1745404468.147, 2.057, 4.037, -0.1498, -1.1138, -4.9416, -0.4674, 41.1423, 92.2642, 1, 1
1745404468.227, 2.057, 4.037, -0.1498, -1.1138, -4.9416, -0.4665, 41.1419, 92.2648, 1, 1
